"Name","Security ID","Security Type","Sector","Country","CCY","Collateral Form","Collateral Code","Market Price"
"Bank of America Corp.","60505104","CUSIP","Financials","United States","USD","Common Stocks","CS","49"
"BioMarin Pharmaceutical, Inc.","09061G101","CUSIP","Health Care","United States","USD","Common Stocks","CS","21"
"BioMarin Pharmaceutical, Inc.","09061GAF8","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","19"
"Blucora, Inc.","095229AB6","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","31"
"Bottomline Technologies de, Inc.","101388AA4","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","35"
"Bristol-Myers Squibb Co.","110122108","CUSIP","Health Care","United States","USD","Common Stocks","CS","50"
"BroadSoft, Inc.","11133BAD4","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","49"
"Carriage Services, Inc.","143905AM9","CUSIP","Consumer Discretionary","United States","USD","Corporate Bonds","CB","28"
"Caterpillar, Inc.","149123101","CUSIP","Industrials","United States","USD","Common Stocks","CS","14"
"Celgene Corp.","151020104","CUSIP","Health Care","United States","USD","Common Stocks","CS","21"
"Cemex SAB de CV","151290BC6","CUSIP","Materials","Mexico","USD","Corporate Bonds","CB","45"
"Cemex SAB de CV","151290BT9","CUSIP","Materials","Mexico","USD","Corporate Bonds","CB","41"
"CHESAPEAKE ENERGY Corp. SR UNSECURED 144A 09/26 5.5","165167CR6","CUSIP","Energy","United States","USD","Corporate Bonds","CB","48"
"Cisco Systems, Inc.","17275R102","CUSIP","Information Technology","United States","USD","Common Stocks","CS","38"
"Colony Starwood Homes","85571WAB5","CUSIP","Financials","United States","USD","Corporate Bonds","CB","34"
"Comcast Corp., Class A","20030N101","CUSIP","Consumer Discretionary","United States","USD","Common Stocks","CS","27"
"Comerica, Inc.","200340107","CUSIP","Financials","United States","USD","Common Stocks","CS","49"
"Communications Sales & Leasing, Inc.","20341J104","CUSIP","Real Estate","United States","USD","Common Stocks","CS","34"
"Cornerstone OnDemand, Inc.","21925YAB9","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","23"
"Cowen Group, Inc.","223622AB7","CUSIP","Financials","United States","USD","Corporate Bonds","CB","23"
"CSG Systems International, Inc.","126349AE9","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","32"
"Ctrip.com International, Ltd.","22943FAL4","CUSIP","Consumer Discretionary","Ivory Coast","USD","Corporate Bonds","CB","16"
"Cypress Semiconductor Corp.","232806AL3","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","33"
"DISH Network Corp.","25470MAA7","CUSIP","Consumer Discretionary","United States","USD","Corporate Bonds","CB","44"
"Eaton Corp. PLC","G29183103","CUSIP","Industrials","United States","USD","Common Stocks","CS","17"
"eBay, Inc.","278642103","CUSIP","Information Technology","United States","USD","Common Stocks","CS","24"
"Electronics For Imaging, Inc.","286082AC6","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","40"
"Element Financial Corp.","286181AA0","CUSIP","Financials","Canada","CAD","Corporate Bonds","CB","41"
"Element Financial Corp.","286181AB8","CUSIP","Financials","Canada","CAD","Corporate Bonds","CB","18"
"Emergent BioSolutions, Inc.","29089QAB1","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","49"
"Encore Capital Group, Inc.","292554AD4","CUSIP","Financials","United States","USD","Corporate Bonds","CB","44"
"Encore Capital Group, Inc.","292554AH5","CUSIP","Financials","United States","USD","Corporate Bonds","CB","38"
"Facebook, Inc., Class A","30303M102","CUSIP","Information Technology","United States","USD","Common Stocks","CS","48"
"Fidelity National Information Services, Inc.","31620M106","CUSIP","Information Technology","United States","USD","Common Stocks","CS","31"
"FXCM, Inc.","302693AB2","CUSIP","Financials","United States","USD","Corporate Bonds","CB","48"
"Gramercy Property Trust REIT","385002100_S","CUSIP","Real Estate","United States","USD","Common Stocks","CS","21"
"Green Plains, Inc.","393222AD6","CUSIP","Energy","United States","USD","Corporate Bonds","CB","43"
"Green Plains, Inc.","393222AE4","CUSIP","Energy","United States","USD","Corporate Bonds","CB","38"
"Griffon Corp.","398433AD4","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","46"
"HealthSouth Corp.","421924BL4","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","36"
"Hologic, Inc.","436440AG6","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","21"
"Honeywell International, Inc.","438516106","CUSIP","Industrials","United States","USD","Common Stocks","CS","50"
"Hoshizaki Corp.","B3FF8W906","CUSIP","Industrials","Japan","JPY","Common Stocks","CS","16"
"Humana, Inc.","444859102","CUSIP","Health Care","United States","USD","Common Stocks","CS","48"
"Huron Consulting Group, Inc.","447462AB8","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","34"
"Iconix Brand Group, Inc.","451055AF4","CUSIP","Consumer Discretionary","United States","USD","Corporate Bonds","CB","26"
"Inphi Corp.","45772FAD9","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","10"
"Insulet Corp.","45784PAE1","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","19"
"Integra LifeSciences Holdings Corp.","457985AK5","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","34"
"Interactive Intelligence Group, Inc.","45841VAB5","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","45"
"Intercept Pharmaceuticals, Inc.","45845PAA6","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","34"
"Intercontinental Exchange, Inc.","45866F104","CUSIP","Financials","United States","USD","Common Stocks","CS","39"
"International Paper Co.","460146103","CUSIP","Materials","United States","USD","Common Stocks","CS","14"
"JAKKS Pacific, Inc.","47012EAE6","CUSIP","Consumer Discretionary","United States","USD","Corporate Bonds","CB","18"
"Johnson Controls International PLC","G51502105","CUSIP","Consumer Discretionary","United States","USD","Common Stocks","CS","12"
"Kellogg Co.","487836108","CUSIP","Consumer Staples","United States","USD","Common Stocks","CS","45"
"KeyCorp.","493267108","CUSIP","Financials","United States","USD","Common Stocks","CS","17"
"Knowles Corp.","49926DAA7","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","44"
"Leidos Holdings, Inc.","525327102","CUSIP","Information Technology","United States","USD","Common Stocks","CS","17"
"LGI Homes, Inc.","50187TAB2","CUSIP","Consumer Discretionary","United States","USD","Corporate Bonds","CB","39"
"Liberty Media Corp.","531229AB8","CUSIP","Consumer Discretionary","United States","USD","Corporate Bonds","CB","22"
"Liberty Media Corp.","531229AC6","CUSIP","Consumer Discretionary","United States","USD","Corporate Bonds","CB","47"
"Live Nation Entertainment, Inc.","538034AJ8","CUSIP","Consumer Discretionary","United States","USD","Corporate Bonds","CB","41"
"Live Nation, Inc.","538034109","CUSIP","Consumer Discretionary","United States","USD","Common Stocks","CS","14"
"Lowe's Cos., Inc.","548661107","CUSIP","Consumer Discretionary","United States","USD","Common Stocks","CS","13"
"Meritage Homes Corp.","59001AAR3","CUSIP","Consumer Discretionary","United States","USD","Corporate Bonds","CB","10"
"Molina Healthcare, Inc.","60855RAD2","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","32"
"Molson Coors Brewing Co., Class B","60871R209","CUSIP","Consumer Staples","United States","USD","Common Stocks","CS","43"
"Navistar International Corp.","63934EAS7","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","42"
"Neurocrine Biosciences, Inc.","64125C109","CUSIP","Health Care","United States","USD","Common Stocks","CS","48"
"Nuance Communications, Inc.","67020YAF7","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","23"
"Nuance Communications, Inc.","67020YAH3","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","48"
"NuVasive, Inc.","670704AF2","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","41"
"NXP Semiconductors NV","N6596X109","CUSIP","Information Technology","Netherlands","USD","Common Stocks","CS","13"
"Parker Hannifin Corp.","701094104","CUSIP","Industrials","United States","USD","Common Stocks","CS","30"
"PDL BioPharma, Inc.","69329YAF1","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","48"
"Pfizer, Inc.","717081103","CUSIP","Health Care","United States","USD","Common Stocks","CS","27"
"Pioneer Natural Resources Co.","723787107","CUSIP","Energy","United States","USD","Common Stocks","CS","17"
"PRA Group, Inc.","73640QAB1","CUSIP","Financials","United States","USD","Corporate Bonds","CB","28"
"Proofpoint, Inc.","743424AD5","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","17"
"PTC THERAPEUTICS, Inc. SR UNSECURED 08/22 3","69366JAB7","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","22"
"Quidel Corp.","74838JAA9","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","24"
"Redwood Trust, Inc.","758075AB1","CUSIP","Financials","United States","USD","Corporate Bonds","CB","34"
"Renewable Energy Group, Inc.","75972AAB9","CUSIP","Energy","United States","USD","Corporate Bonds","CB","36"
"Rockwell Automation, Inc.","773903109","CUSIP","Industrials","United States","USD","Common Stocks","CS","35"
"Sage Therapeutics, Inc.","78667J108","CUSIP","Health Care","United States","USD","Common Stocks","CS","40"
"Shutterfly, Inc.","82568PAB2","CUSIP","Consumer Discretionary","United States","USD","Corporate Bonds","CB","36"
"Skyworks Solutions, Inc.","83088M102","CUSIP","Information Technology","United States","USD","Common Stocks","CS","34"
"SM Energy Co.","78454LAM2","CUSIP","Energy","United States","USD","Corporate Bonds","CB","38"
"Starwood Property Trust, Inc.","85571BAA3","CUSIP","Financials","United States","USD","Corporate Bonds","CB","12"
"Starwood Property Trust, Inc.","85571BAC9","CUSIP","Financials","United States","USD","Corporate Bonds","CB","34"
"State Street Institutional Treasury Money Market Fund, Premier Class, 0.14% (7 day yield)","85799J9Y2","CUSIP","MoneyMarket","United States","USD","Short-Term Investments","ST","46"
"TerraVia Holdings, Inc.","83415TAC5","CUSIP","Materials","United States","USD","Corporate Bonds","CB","30"
"The Charles Schwab Corp.","808513105","CUSIP","Financials","United States","USD","Common Stocks","CS","11"
"The Greenbrier Cos., Inc.","393657AH4","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","42"
"The Medicines Co.","584688AF2","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","20"
"Thermo Fisher Scientific, Inc.","883556102","CUSIP","Health Care","United States","USD","Common Stocks","CS","20"
"Trinity Industries, Inc.","896522AF6","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","23"
"Vantiv, Inc., Class A","92210H105","CUSIP","Information Technology","United States","USD","Common Stocks","CS","46"
"VEREIT, Inc. REIT","92339V100_S","CUSIP","Real Estate","United States","USD","Common Stocks","CS","22"
"Vertex Pharmaceuticals, Inc.","92532F100","CUSIP","Health Care","United States","USD","Common Stocks","CS","30"
"VF Corp.","918204108","CUSIP","Consumer Discretionary","United States","USD","Common Stocks","CS","17"
"Visa, Inc., Class A","92826C839","CUSIP","Information Technology","United States","USD","Common Stocks","CS","12"
"Vitamin Shoppe, Inc.","92849EAA9","CUSIP","Consumer Discretionary","United States","USD","Corporate Bonds","CB","36"
"Wabash National Corp.","929566AH0","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","43"
"Walgreens Boots Alliance, Inc.","931427108","CUSIP","Consumer Staples","United States","USD","Common Stocks","CS","40"
"WebMD Health Corp.","94770VAK8","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","40"
"WMIH Corp.","92936P100","CUSIP","Financials","United States","USD","Common Stocks","CS","12"
"Yahoo!, Inc.","984332AF3","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","19"
"ABB FINANCE USA INC 1.625% 05/08/17 ","00037BAA0","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","39"
"ABB FINANCE USA INC 2.875% 05/08/22","00037BAB8","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","14"
"ABBOTT LABORATORIES 2.9 11/30/2021","002824BD1","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","18"
"ABBVIE INC. 2.125% SENIOR NOTES 11/17/2028","00287YBB4","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","21"
"ADVANCE AUTO PARTS INC","00751YAB2","CUSIP","Consumer Discretionary","United States","USD","Corporate Bonds","CB","44"
"AGILENT TECHNOLOGIES INC. 5.0% SR NTS 07/15/20","00846UAG6","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","10"
"AMERISOURCEBERGEN CORP 3.50% SR NTS 11/15/21","03073EAJ4","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","46"
"APPLE INC. : 2.000% NOTES DUE 2027 09/17/2027","037833BM1","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","30"
"BARRICK NA FINANCE LLC 4.40% 05/30/21 ","06849RAF9","CUSIP","Materials","United States","USD","Corporate Bonds","CB","37"
"BOEING CO","097023BL8","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","26"
"Chesapeake Energy 2.25% Contingent Conv Sr Nts 12/15/38","165167CB1","CUSIP","Energy","United States","USD","Convertible Bonds","CN","14"
"CHESAPEAKE ENERGY CORP 2.75 NTS 11/15/2035 ","165167BW6","CUSIP","Energy","United States","USD","Convertible Bonds","CN","20"
"FREDDIE MAC ZR CPN CAP 11/29/19","313400BV4","CUSIP","Financials","United States","USD","Federal Agency Bonds","FAB","13"
"MASCO CORP ZR CPN CV NTS 07/20/2031 ","574599BB1","CUSIP","Industrials","United States","USD","Convertible Bonds","CN","16"
"METRO WTR REF BDS SO CAL A93 5 3/4% 07/01/21 ","592663MS4","CUSIP","Utilities","United States","USD","Revenue Bonds","RB","28"
"Treehouse Foods Inc 4.875% 03/15/2022","89469AAB0","CUSIP","Consumer Staples","United States","USD","Corporate Bonds","CB","14"
"UNITEDHEALTH GROUP INC. 1.4% 10/15/17","91324PBY7","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","31"
"USA TREASURY BONDS 7 7/8% BDS 02/15/2021 ","912810EH7","CUSIP","Government","United States","USD","US Treasury Bonds","TB","29"
"USA TREASURY BONDS 8 1/8% BDS 08/15/2019 ","912810ED6","CUSIP","Government","United States","USD","US Treasury Bonds","TB","49"
"USA TREASURY BONDS 8 1/8% BDS 08/15/2021 ","912810EK0","CUSIP","Government","United States","USD","US Treasury Bonds","TB","42"
"USA TREASURY BONDS 8 3/4% BDS 05/15/2017","912810DY1","CUSIP","Government","United States","USD","US Treasury Bonds","TB","18"
"USA TREASURY BONDS 8 3/4% BDS 08/15/2020","912810EG9","CUSIP","Government","United States","USD","US Treasury Bonds","TB","28"
"USA TREASURY BONDS 8 7/8% BDS 08/15/2017 ","912810DZ8","CUSIP","Government","United States","USD","US Treasury Bonds","TB","49"
"USA TREASURY BONDS 9 1/8% BDS 05/15/2018 ","912810EA2","CUSIP","Government","United States","USD","US Treasury Bonds","TB","29"
"USA TREASURY NOTES 3 7/8% 30YR NTS 04/15/2029","912810FH6","CUSIP","Government","United States","USD","US Treasury Notes","TN","31"
"ZIMMER HLDGS INC NT 4.625% 11/30/19","98956PAA0","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","15"
"FLAGSTAR BANCORP, INC. 6.125 07/15/2021","337930AC5","CUSIP","Financials","United States","USD","Corporate Bonds","CB","24"
"INTERNATIONAL BUSINESS MACHS NT 5.7% 09/14/2017","459200GJ4","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","31"
"ABBVIE INC 2 11/06/2018","00287YAK5","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","48"
"ABBVIE INC. 0.3375% 11/18/2019","00287YAZ2","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","33"
"AMERISOURCEBERGEN CORP 1.15% 05/15/2017","03073EAK1","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","32"
"AMERISOURCEBERGEN CORP SR NT 4.875% 11/15/19 ","03073EAG0","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","48"
"AECOM 5.75 10/15/2022","00766TAB6","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","10"
"AMERICAN CAMPUS COMMUNITIES OPERATING PARTNERSHIP LP 3.35 10/01/2020","024836AC2","CUSIP","Financials","United States","USD","Corporate Bonds","CB","44"
"ACCURIDE CORP 9.5 08/01/2018","00439TAE7","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","46"
"ARCHER-DANIELS-MIDLAND CO 6.750% DEB 12/15/27","039483AN2","CUSIP","Consumer Staples","United States","USD","Corporate Bonds","CB","10"
"UNION ELEC CO SR SEC NT 6.4% 06/15/17","906548CE0","CUSIP","Utilities","United States","USD","Corporate Bonds","CB","43"
"AMERENENERGY GENERATING CO SR NT 7% 04/15/18","02360XAL1","CUSIP","Utilities","United States","USD","Corporate Bonds","CB","31"
"TRANSAMERICA CAPITAL III 7.625 11/15/2037 ","893473AC2","CUSIP","Financials","United States","USD","Corporate Bonds","CB","13"
"AEGON FUNDING 5.75% BDS 12/15/20","007634AA6","CUSIP","Financials","United States","USD","Corporate Bonds","CB","10"
"AMERICAN EQUITY INVESTMENT LIFE HOLDING COMPANY 6.625% 07/15/21","025676AL1","CUSIP","Financials","United States","USD","Corporate Bonds","CB","36"
"SOUTHWESTERN ELECTRIC POWER 5.55% SR NTS 01/15/17","845437BH4","CUSIP","Utilities","United States","USD","Corporate Bonds","CB","45"
"INDIANA-MICHIGAN POWER 7.0% SR NTS 03/15/19","454889AN6","CUSIP","Utilities","United States","USD","Corporate Bonds","CB","43"
"PUBLIC SERVICE CO OKLA SR NT 5.15% 12/01/19","744533BK5","CUSIP","Utilities","United States","USD","Corporate Bonds","CB","47"
"AERCAP AVIATION SOLUTION 6.375 05/30/2017","007643AB5","CUSIP","Financials","United States","USD","Corporate Bonds","CB","14"
"APPALACHIAN POWER COMPANY 4.60% 03/30/21","037735CR6","CUSIP","Utilities","United States","USD","Corporate Bonds","CB","46"
"AERCAP IRELAND CAPITAL LTD / AERCAP GLOBAL AVIATION TRUST 4.25 07/01/2020 ","00772BAN1","CUSIP","Financials","United States","USD","Corporate Bonds","CB","43"
"DPL INC. 7.25% 10/15/21","256882AD3","CUSIP","Utilities","United States","USD","Corporate Bonds","CB","43"
"AES CORP SR NT 8% 06/01/20","00130HBN4","CUSIP","Utilities","United States","USD","Corporate Bonds","CB","24"
"AETNA INC 4.25 06/15/2036","00817YAY4","CUSIP","Utilities","United States","USD","Corporate Bonds","CB","13"
"AETNA INC 4.375 06/15/2046","00817YAX6","CUSIP","Utilities","United States","USD","Corporate Bonds","CB","14"
"ASTORIA FINANCIAL CORP 5.00% 06/19/17","046265AF1","CUSIP","Financials","United States","USD","Corporate Bonds","CB","24"
"AMERICAN FINL GROUP INC OHIO SR NT 9.875% 06/15/2019","026074AA2","CUSIP","Financials","United States","USD","Corporate Bonds","CB","31"
"AFLAC INC. 2.65% 02/15/17","001055AH5","CUSIP","Financials","United States","USD","Corporate Bonds","CB","29"
"AGCO CORP 5.875 12/01/2021","001084AQ5","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","44"
"FEDERAL AGRICULTURAL MORTGAGE CORPORATION 4.125 01/19/2017","31315PGE3","CUSIP","Financials","United States","USD","Corporate Bonds","CB","34"
"ALLERGAN INC/UNITED STATES 1.35 03/15/2018","018490AP7","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","17"
"ACTAVIS PLC 4.625% 10/1/2042","942683AH6","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","25"
"ACTAVIS FUNDING 3.8% 03/15/2025","00507UAS0","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","10"
"AGRIUM INC. 6.75% SR NTS 1/15/19","008916AH1","CUSIP","Materials","United States","USD","Corporate Bonds","CB","40"
"ASSURED GUARANTY US HLDG 5.0% 07/01/2024","04621WAC4","CUSIP","Financials","United States","USD","Corporate Bonds","CB","32"
"ASPEN INS HLDGS LTD SR NT 6% 12/15/2020","04530DAC6","CUSIP","Financials","United States","USD","Corporate Bonds","CB","10"
"AMERICAN GENERAL FINANCE 6.5% BDS 9/15/17","02635PTQ6","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","50"
"SUNAMERICA INC DEB 8.125% 04/28/23","866930AB6","CUSIP","Consumer Discretionary","United States","USD","Corporate Bonds","CB","23"
"AMERICAN TOWER CORP SR NT 7.25% 05/15/2019","029912AY8","CUSIP","Financials","United States","USD","Corporate Bonds","CB","48"
"AMERICAN GENERAL CORP SR NT 6.625% 02/15/29 ","026351AZ9","CUSIP","Financials","United States","USD","Corporate Bonds","CB","17"
"ASSURANT INC. 2.50% 03/15/18","04621XAE8","CUSIP","Financials","United States","USD","Corporate Bonds","CB","13"
"AEROJET ROCKETDYNE HLDGS INC 2.25 12/15/2023 ","007800AB1","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","27"
"AK STEEL CORP 8.375% 04/01/22","001546AM2","CUSIP","Materials","United States","USD","Corporate Bonds","CB","48"
"AIR LEASE CORP 3.375 06/01/2021","00912XAS3","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","48"
"ALBEMARLE CORP 3% 12/1/19","012725AB3","CUSIP","Materials","United States","USD","Corporate Bonds","CB","12"
"ALLSTATE CORP 6.750% SR DEB 05/15/18","020002AH4","CUSIP","Financials","United States","USD","Corporate Bonds","CB","41"
"ALLEGION US HOLDING CO 5.75 10/1/2021 ","01748NAC8","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","12"
"ALLEGION PLC 5.875 09/15/2023 ","01748TAA9","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","23"
"ALLY FINANCIAL INC 4.7 09/15/2018","02006DCE9","CUSIP","Financials","United States","USD","Corporate Bonds","CB","25"
"ALERE INC 7.25 07/01/2018","01449JAH8","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","16"
"AMERIPRISE FINANCIAL INC 2.875 09/15/2026","03076CAH9","CUSIP","Financials","United States","USD","Corporate Bonds","CB","25"
"WEATHERFORD INTL LTD","947075AE7","CUSIP","Energy","United States","USD","Corporate Bonds","CB","30"
"WEATHERFORD INTL LTD","G48833100","CUSIP","Energy","United States","USD","Common Stocks","CS","31"
"AMGEN INC","031162CE8","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","50"
"ACORDA THERAPEUTICS INC","00484MAA4","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","31"
"ACI WORLDWIDE INC","004498AA9","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","15"
"4 week bill ","912796JA8","CUSIP","Government","United States","USD","US Treasury Bills","TBL","15"
"13 week bill","912796KQ1","CUSIP","Government","United States","USD","US Treasury Bills","TBL","11"
"26 week bill","912796LG2","CUSIP","Government","United States","USD","US Treasury Bills","TBL","23"
"52 week bill","912796LC1","CUSIP","Government","United States","USD","US Treasury Bills","TBL","40"
"2 year note","912828U99","CUSIP","Government","United States","USD","US Treasury Notes","TN","25"
"3 year note","912828U73","CUSIP","Government","United States","USD","US Treasury Notes","TN","13"
"5 year note","912828U81","CUSIP","Government","United States","USD","US Treasury Notes","TN","32"
"7 year note","912828V23","CUSIP","Government","United States","USD","US Treasury Notes","TN","49"
"10 year note","912828U24","CUSIP","Government","United States","USD","US Treasury Notes","TN","20"
"360 Capital Financial Services Group Inc.","88556P 10 7","CUSIP","Diversified Industries","Canada","CDN","Common Stocks","CS","40"
"37 Capital Inc. 
","88429G102","CUSIP","Mining","Canada","CDN","Common Stocks","CS","33"
"Abattis Bioceuticals Corp. 
","00258G 10 3","CUSIP","Life Sciences","Canada","CDN","Common Stocks","CS","25"
"Aida Minerals Corp. ","008720 10 4","CUSIP","Mining","Canada","CDN","Common Stocks","CS","28"
"Alchemist Mining Inc.","01374P 20 9","CUSIP","Mining","Canada","CDN","Common Stocks","CS","24"
"Alexandra Capital Corp. ","01479Q 10 2","CUSIP","Mining","Canada","CDN","Common Stocks","CS","10"
"Alliance Growers Corp.","01861C 10 9","CUSIP","Life Sciences","Canada","CDN","Common Stocks","CS","14"
"ALQ Gold Corp.","00164E 10 1","CUSIP","Mining","Canada","CDN","Common Stocks","CS","29"
"Alta Vista Ventures Ltd.","021342 20 9 ","CUSIP","Life Sciences","Canada","CDN","Common Stocks","CS","45"
"Argo Gold Inc.
","04016J102","CUSIP","Mining","Canada","CDN","Common Stocks","CS","30"
"American Potash Corp.
","029065109","CUSIP","Mining","Canada","CDN","Common Stocks","CS","35"
"Appia Energy Corp. ","03783B 10 2","CUSIP","Mining","Canada","CDN","Common Stocks","CS","35"
"Arctic Glacier Income Fund ","039675 10 3","CUSIP","Diversified Industries","Canada","CDN","Common Stocks","CS","28"
"Arcturus Growthstar Technologies Inc. ","03969D104","CUSIP","Technology","Canada","CDN","Common Stocks","CS","38"
"Armadillo Resources Ltd.","04216P 10 6","CUSIP","Mining","Canada","CDN","Common Stocks","CS","26"
"Asante Gold Corporation","04341X107","CUSIP","Mining","Canada","CDN","Common Stocks","CS","32"
"Atlas Cloud Enterprises Inc.
","049237100","CUSIP","Technology","Canada","CDN","Common Stocks","CS","47"
"Augustine Ventures Inc.","05149Q 10 3","CUSIP","Mining","Canada","CDN","Common Stocks","CS","37"
"Avarone Metals Inc.","05351M 20 4","CUSIP","Mining","Canada","CDN","Common Stocks","CS","14"
"Aydon Income Properties Inc.","054690 10 2","CUSIP","Diversified Industries","Canada","CDN","Common Stocks","CS","39"
"Aylen Capital Inc. ","054725106","CUSIP","Diversified Industries","Canada","CDN","Common Stocks","CS","24"
"BacTech Environmental Corp.","070490 20 6","CUSIP","Cleantech","Canada","CDN","Common Stocks","CS","46"
"Bama Gold Corp.","05936T 20 3","CUSIP","Mining","Canada","CDN","Common Stocks","CS","20"
"Banro Corporation Series A Pr.","66800608","CUSIP","Mining","Canada","USD","Preferred Shares","PS","33"
